CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_GRAU_ACADEMICO|DS_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|DS_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|DS_NIVEL_ACADEMICO|CO_ALUNO_CURSO|CO_ALUNO|CO_COR_RACA_ALUNO|DS_COR_RACA_ALUNO|IN_SEXO_ALUNO|DS_SEXO_ALUNO|NU_ANO_ALUNO_NASC|NU_DIA_ALUNO_NASC|NU_MES_ALUNO_NASC|NU_IDADE_ALUNO|CO_NACIONALIDADE_ALUNO|CO_PAIS_ORIGEM_ALUNO|CO_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|CO_ALUNO_SITUACAO|IN_ALUNO_DEFICIENCIA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_DEF_SURDEZ|IN_DEF_SURDOCEGUEIRA|IN_DEF_BAIXA_VISAO|IN_DEF_CEGUEIRA|IN_DEF_SUPERDOTACAO|IN_TGD_AUTISMO_INFANTIL|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|DT_INGRESSO_CURSO|IN_ATIVIDADE_COMPLEMENTAR|IN_RESERVA_VAGAS|IN_FINANC_ESTUDANTIL|CO_CURSO_POLO|CO_TURNO_ALUNO|IN_ING_VESTIBULAR|IN_ING_ENEM|IN_ING_OUTRO_TIPO_SELECAO|IN_ING_CONVENIO_PECG|IN_ING_OUTRA_FORMA|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTROS|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_COMPL_ESTAGIO|IN_COMPL_EXTENSAO|IN_COMPL_MONITORIA|IN_COMPL_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|TP_PROCEDE_EDUC_PUBLICA|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_PROCESSO_SELETIVO|IN_INGRESSO_OUTRAS_FORMAS|ANO_INGRESSO
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|29727|400009656737|6|Não dispõe da informação|1|Feminino|1986|16|06|25|1|10|31|3143302|2|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||0|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|18058|400009345504|3|Parda|0|Masculino|1992|26|02|19|1|10|31|3135209|2|0||||||||||||||21JAN2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||1|0|0|0|0|1|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA|1|Bacharelado|1|Presencial|1|Graduação|29887|400005426686|1|Branca|0|Masculino|1991|04|01|20|1|10|31|3121605|3|0||||||||||||||16MAR2010:00:00:00|0|0|0||1|0|1|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|40390|400009611108|2|Preta|1|Feminino|1991|27|09|20|1|10|31|3143302|3|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||0|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|40438|400009452070|3|Parda|0|Masculino|1991|22|08|20|1|10|31|3157005|4|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|0|1|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|40527|400002138398|3|Parda|0|Masculino|1987|03|12|24|1|10|31|3135209|2|0||||||||||||||27JAN2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||1|1|0|0|1|0|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|32895|400009659073|3|Parda|0|Masculino|1986|01|06|25|1|10|31|3143302|3|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|0|1|0||0|||||||||||||||||||1|0|0|0|0|1|0|||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|39406|400009665092|0|Não declarado|0|Masculino|1987|15|05|24|1|10|31|3143302|4|0||||||||||||||09JUL2010:00:00:00|0|0|0||1|0|0|0||1|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|33022|400001522553|2|Preta|1|Feminino|1991|24|05|20|1|10|31|3139300|2|0||||||||||||||16MAR2010:00:00:00|0|0|0||1|0|1|0||0|||||||||||||||||||1|0|1|0|0|0|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|33044|400009660290|3|Parda|0|Masculino|1993|01|02|18|1|10|31|3135209|2|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||1|0|0|0|0|1|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO|1|Bacharelado|1|Presencial|1|Graduação|38438|400001426118|3|Parda|1|Feminino|1990|13|06|21|1|10|31|3135209|2|0||||||||||||||09FEB2009:00:00:00|0|0|0||3|1|0|0||0|||||||||||||||||||0|||||||||||||||1|1|0|0|0|0|2009
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|40820|400009658967|1|Branca|0|Masculino|1992|03|04|19|1|10|31|3135209|3|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|42080|400009346299|6|Não dispõe da informação|1|Feminino|1992|27|01|19|1|10|31|3135209|4|0||||||||||||||18JAN2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|34459|400009346047|3|Parda|0|Masculino|1987|10|09|24|1|10|31|3135209|4|0||||||||||||||17MAR2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|41027|400009613623|3|Parda|1|Feminino|1969|30|03|42|1|10|14|1400100|4|0||||||||||||||22FEB2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO|1|Bacharelado|1|Presencial|1|Graduação|41154|400002587988|3|Parda|1|Feminino|1988|30|01|23|1|10|31|3135209|2|0||||||||||||||06AUG2007:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|1|0|0|0|0|2007
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|41280|400009430697|6|Não dispõe da informação|0|Masculino|1990|07|01|21|1|10|31|3135209|2|0||||||||||||||24AUG2010:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||0|||||||||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1102802|ENGENHARIA AGRÍCOLA E AMBIENTAL|1|Bacharelado|1|Presencial|1|Graduação|49897|400009664918|0|Não declarado|0|Masculino|1985|14|11|26|1|10|31|3135209|3|0||||||||||||||09JUL2010:00:00:00|0|0|0||1|0|0|0||1|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|64774|400009429187|6|Não dispõe da informação|0|Masculino|1992|30|07|19|1|10|31|3132107|4|0||||||||||||||20AUG2010:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|51857|400009345672|1|Branca|0|Masculino|1992|03|04|19|1|10|31|3143302|2|0||||||||||||||26MAR2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||1|0|1|0|0|0|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|76342|400009345940|3|Parda|0|Masculino|1988|23|09|23|1|10|31|3143302|2|0||||||||||||||23MAR2010:00:00:00|1|0|0||1|1|0|0||0|||||||||||||||||||0|||||||0|1|0|0||1|||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|99503|MATEMÁTICA|2|Licenciatura|1|Presencial|1|Graduação|11386587|400012324988|0|Não declarado|1|Feminino|1989|26|05|22|1|10|31|3143302|4|0||||||||||||||24FEB2011:00:00:00|0|0|0||1|0|1|0||0|||||||||||||||||||0|||||||||||||||1|0|0|1|1|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107476|AGRONOMIA|1|Bacharelado|1|Presencial|1|Graduação|10636351|400012201560|0|Não declarado|0|Masculino|1990|29|11|21|1|10|31|3135209|2|0||||||||||||||14FEB2011:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||0|||||||||||||||1|1|0|1|1|0|2011
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|115661|400009433596|6|Não dispõe da informação|1|Feminino|1989|31|05|22|1|10|29|2911709|2|0||||||||||||||05AUG2010:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||1|0|1|0|0|0|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO|1|Bacharelado|1|Presencial|1|Graduação|116063|400009319714|3|Parda|1|Feminino|1990|04|08|21|1|10|31|3139300|2|0||||||||||||||18JAN2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|107474|ADMINISTRAÇÃO|1|Bacharelado|1|Presencial|1|Graduação|108203|400009320155|1|Branca|0|Masculino|1992|30|05|19|1|10|31|3135209|4|0||||||||||||||27JAN2010:00:00:00|0|0|0||1|1|0|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|122525|400009435561|6|Não dispõe da informação|0|Masculino|1991|12|10|20|1|10|31|3158508|2|0||||||||||||||06AUG2010:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||1|0|1|0|0|0|0|||||||||1|1|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|122727|400009437950|6|Não dispõe da informação|0|Masculino|1991|30|12|20|1|10|31|3143302|4|0||||||||||||||30JUL2010:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||0|||||||||||||||1|0|0|0|0|0|2010
3188|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|96981|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|3|Tecnologico|1|Presencial|1|Graduação|121683|400009435963|6|Não dispõe da informação|0|Masculino|1992|22|04|19|1|10|31|3144300|3|0||||||||||||||29JUL2010:00:00:00|0|0|0||2|0|1|0||0|||||||||||||||||||1|0|0|0|0|1|0|||||||||1|0|0|0|0|0|2010
